Rank,country,Gold,Silver,Bronze,Total,Rank by Total
1,United States,40,44,42,126,1
2,China,40,27,24,91,2
3,Japan,20,12,13,45,6
4,Australia,18,19,16,53,5
5,France,16,26,22,64,4
6,Netherlands,15,7,12,34,8
7,Great Britain,14,22,29,65,3
8,Korea,13,9,10,32,10
9,Italy,12,13,15,40,7
10,Germany,12,13,8,33,9
11,New Zealand,10,7,3,20,12
12,Canada,9,7,11,27,11
13,Uzbekistan,8,2,3,13,16
14,Hungary,6,7,6,19,14
15,Spain,5,4,9,18,15
16,Sweden,4,4,3,11,19
17,Kenya,4,2,5,11,20
18,Norway,4,1,3,8,27
19,Ireland,4,0,3,7,33
20,Brazil,3,7,10,20,13
21,IR Iran,3,6,3,12,18
22,Ukraine,3,5,4,12,17
23,Romania,3,4,2,9,24
24,Georgia,3,3,1,7,32
25,Belgium,3,1,6,10,21
26,Bulgaria,3,1,3,7,31
27,Serbia,3,1,1,5,44
28,Czechia,3,0,2,5,45
29,Denmark,2,2,5,9,23
31,Croatia,2,2,3,7,34
30,Azerbaijan,2,2,3,7,37
32,Cuba,2,1,6,9,25
33,Bahrain,2,1,1,4,50
34,Slovenia,2,1,0,3,59
35,Chinese Taipei,2,0,5,7,35
36,Austria,2,0,3,5,46
38,Philippines,2,0,2,4,52
37,"Hong Kong, China",2,0,2,4,56
39,Algeria,2,0,1,3,60
40,Indonesia,2,0,1,3,61
41,Israel,1,5,1,7,30
42,Poland,1,4,5,10,22
43,Kazakhstan,1,3,3,7,36
44,Jamaica,1,3,2,6,40
46,Thailand,1,3,2,6,41
45,South Africa,1,3,2,6,42
47,AIN,1,3,1,5,47
48,Ethiopia,1,3,0,4,51
49,Switzerland,1,2,5,8,28
50,Ecuador,1,2,2,5,49
51,Portugal,1,2,1,4,57
52,Greece,1,1,6,8,26
54,Egypt,1,1,1,3,63
53,Argentina,1,1,1,3,64
55,Tunisia,1,1,1,3,66
57,Chile,1,1,0,2,67
56,Botswana,1,1,0,2,68
59,Uganda,1,1,0,2,69
58,Saint Lucia,1,1,0,2,70
60,Dominican Republic,1,0,2,3,65
61,Guatemala,1,0,1,2,71
62,Morocco,1,0,1,2,76
64,Pakistan,1,0,0,1,79
63,Dominica,1,0,0,1,80
65,Türkiye,0,3,5,8,29
66,Mexico,0,3,2,5,48
67,Armenia,0,3,1,4,53
68,Colombia,0,3,1,4,54
70,Kyrgyzstan,0,2,4,6,38
69,DPR Korea,0,2,4,6,39
71,Lithuania,0,2,2,4,55
72,India,0,1,5,6,43
73,Republic of Moldova,0,1,3,4,58
74,Kosovo,0,1,1,2,72
75,Cyprus,0,1,0,1,78
76,Fiji,0,1,0,1,81
79,Panama,0,1,0,1,82
77,Jordan,0,1,0,1,83
78,Mongolia,0,1,0,1,84
80,Tajikistan,0,0,3,3,62
81,Albania,0,0,2,2,73
82,Grenada,0,0,2,2,74
83,Malaysia,0,0,2,2,75
84,Puerto Rico,0,0,2,2,77
85,Cabo Verde,0,0,1,1,85
86,Côte d'Ivoire,0,0,1,1,86
87,EOR,0,0,1,1,87
88,Peru,0,0,1,1,88
89,Qatar,0,0,1,1,89
90,Singapore,0,0,1,1,90
91,Slovakia,0,0,1,1,91
92,Zambia,0,0,1,1,92
